"p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","Re","Mach","AoA_deg","C_d","C_l","C_m"
"(1.000060,-0.003974)","(0.950489,-0.000437)","(0.811827,-0.005487)","(0.611937,-0.044910)","(0.390118,-0.091432)","(0.189739,-0.098403)","(0.050437,-0.060972)","(-0.000000,0.000000)","(0.048463,0.069940)","(0.186518,0.115283)","(0.387044,0.112532)","(0.610084,0.078020)","(0.811131,0.040658)","(0.950264,0.014463)","(0.999940,0.003974)","9.000000e+06","1.000000e-01","1.200000e+01","1.409288e-02","1.781519e+00","-9.460203e-02"
"(1.000012,-0.003916)","(0.950494,-0.003786)","(0.811772,-0.009235)","(0.611333,-0.024609)","(0.388871,-0.043861)","(0.188442,-0.062258)","(0.049681,-0.054604)","(0.000000,0.000000)","(0.049272,0.082396)","(0.187854,0.134844)","(0.388327,0.138505)","(0.610930,0.110543)","(0.811554,0.063792)","(0.950422,0.020364)","(0.999988,0.003916)","9.000000e+06","1.000000e-01","1.200000e+01","1.568998e-02","1.932385e+00","-1.242425e-01"
"(0.999998,-0.001257)","(0.950488,0.003894)","(0.811760,0.009884)","(0.611269,0.005990)","(0.388727,-0.008523)","(0.188210,-0.029081)","(0.049461,-0.036040)","(0.000000,0.000000)","(0.049641,0.078544)","(0.188488,0.147634)","(0.389009,0.171063)","(0.611482,0.141093)","(0.811866,0.077517)","(0.950515,0.020959)","(1.000002,0.001257)","9.000000e+06","1.000000e-01","1.200000e+01","2.361226e-02","2.062747e+00","-1.867625e-01"
"(1.000002,-0.002322)","(0.950490,-0.008522)","(0.811772,-0.031921)","(0.611323,-0.071369)","(0.388826,-0.097075)","(0.188333,-0.086744)","(0.049564,-0.052117)","(0.000000,0.000000)","(0.049459,0.066597)","(0.188157,0.112217)","(0.388642,0.111155)","(0.611195,0.073648)","(0.811716,0.032193)","(0.950474,0.008790)","(0.999998,0.002322)","9.000000e+06","1.000000e-01","1.200000e+01","1.220822e-02","1.462301e+00","-1.246059e-02"
"(0.999980,-0.001729)","(0.950340,-0.012238)","(0.811292,-0.038948)","(0.610620,-0.055219)","(0.388157,-0.050301)","(0.187705,-0.047527)","(0.049024,-0.042542)","(-0.000000,0.000000)","(0.050391,0.075343)","(0.189742,0.128119)","(0.390334,0.137463)","(0.612523,0.108892)","(0.812400,0.056563)","(0.950647,0.014216)","(1.000020,0.001729)","9.000000e+06","1.000000e-01","1.200000e+01","1.425553e-02","1.518368e+00","-2.675954e-02"
"(1.000041,-0.003541)","(0.950463,0.001672)","(0.811713,0.002731)","(0.611467,-0.018080)","(0.389295,-0.048530)","(0.189027,-0.067422)","(0.050128,-0.053327)","(-0.000000,-0.000000)","(0.048649,0.075966)","(0.186766,0.130214)","(0.387127,0.140978)","(0.609935,0.115821)","(0.810971,0.067556)","(0.950237,0.021425)","(0.999959,0.003541)","9.000000e+06","1.000000e-01","1.200000e+01","1.762743e-02","2.017330e+00","-1.624119e-01"
"(1.000069,-0.002987)","(0.950540,-0.002525)","(0.812254,-0.022178)","(0.612831,-0.068362)","(0.391067,-0.101301)","(0.190449,-0.095464)","(0.050769,-0.054484)","(-0.000000,0.000000)","(0.048326,0.051888)","(0.186193,0.089799)","(0.386310,0.105763)","(0.609078,0.094987)","(0.810441,0.056702)","(0.950084,0.017343)","(0.999931,0.002987)","9.000000e+06","1.000000e-01","1.200000e+01","1.626915e-02","1.580591e+00","-9.262177e-02"
"(0.999993,-0.001725)","(0.950472,-0.002583)","(0.811703,-0.010446)","(0.611120,-0.035630)","(0.388495,-0.062169)","(0.188000,-0.065099)","(0.049336,-0.046262)","(-0.000000,0.000000)","(0.049819,0.076691)","(0.188794,0.136812)","(0.389296,0.141308)","(0.611639,0.096381)","(0.811916,0.043693)","(0.950528,0.011558)","(1.000007,0.001725)","9.000000e+06","1.000000e-01","1.200000e+01","1.374070e-02","1.818237e+00","-8.721493e-02"
"(0.999999,-0.001634)","(0.950481,-0.001687)","(0.811737,-0.009690)","(0.611236,-0.032812)","(0.388700,-0.055318)","(0.188212,-0.059773)","(0.049486,-0.044400)","(-0.000000,0.000000)","(0.049571,0.073832)","(0.188353,0.133680)","(0.388845,0.145346)","(0.611339,0.108902)","(0.811784,0.054437)","(0.950493,0.014516)","(1.000001,0.001634)","9.000000e+06","1.000000e-01","1.200000e+01","1.544974e-02","1.855623e+00","-1.116714e-01"
"(1.000057,-0.003787)","(0.950517,-0.002297)","(0.811934,-0.012662)","(0.612196,-0.062285)","(0.390469,-0.115120)","(0.189944,-0.112419)","(0.050454,-0.062348)","(0.000000,0.000000)","(0.048551,0.064375)","(0.186685,0.104549)","(0.387317,0.094769)","(0.610445,0.054266)","(0.811403,0.022731)","(0.950346,0.009103)","(0.999943,0.003787)","9.000000e+06","1.000000e-01","1.200000e+01","1.307808e-02","1.543449e+00","-3.869542e-02"
"(1.000001,-0.000902)","(0.950483,-0.000511)","(0.811752,-0.009545)","(0.611284,-0.030604)","(0.388777,-0.047254)","(0.188295,-0.050235)","(0.049548,-0.038819)","(0.000000,0.000000)","(0.049464,0.068788)","(0.188154,0.130321)","(0.388621,0.152158)","(0.611164,0.123295)","(0.811694,0.064612)","(0.950469,0.016386)","(0.999999,0.000902)","9.000000e+06","1.000000e-01","1.200000e+01","1.945591e-02","1.811967e+00","-1.270253e-01"
